"name","N","Mean","SD","Median","Min","Max"
"total_processed",191646,10.12,41.9,1,0,1421
"formal_prision",191646,8.21,35.11,1,0,1360
"free",191646,1.17,5.81,0,0,274
"n_sentenced",191646,7.59,34.22,1,0,1387
"sent_prison",191646,6.46,30.38,0,0,1340
"sent_intensive",191646,1.69,2.27,0,0,13
"only_sent_money",191646,0.24,1.66,0,0,77
"absolutoria",191646,0.87,3.65,0,0,103
"condenado",191646,6.68,31.22,0,0,1344
"total_clean",37099,475.81,1121.72,101,0,13921
"capacity_clean",37123,362.32,689.87,81,1,12820
"comun_clean",37118,374.38,914.27,91,0,15828
"federal_clean",37106,97.37,278.17,2,0,8431
"relative_overcrowding",37097,0.23,0.88,0.05,-1,11.62
"POBTOT",2443,39903.16,119427.85,11795,109,1773343
"PMASC18_",2442,11059.91,35046.91,2985.5,27,536879
"VP_TV",2442,7564.04,25993.18,1534.5,2,389479
"VP_RADIO",2442,7471.86,24809.63,1810,31,377704
"PNOTRABA",2442,215.48,633.03,60.5,0,10167
"min_dist_to_fed_km2",371007,634.69,330.91,676.44,2.73,2001.87
"min_dist_to_state_km",383292,26.48,21.68,21.17,0.44,199.21
"min_dist_to_fed_km2",2457,220.42,121.2,207.49,2.73,793.74
"min_dist_to_state_km",2457,28.6,22.67,23.19,0.44,199.21
